timeStamp,x,y,z,gx,gy,gz
1420650775615,0.44530587282851336,-0.25457015141239386,-0.7560341291893273,6.997653048352151,-1.4161702637161127,6.447285722528025,lying
1420650775669,0.9859347717095166,-0.14559953474956563,0.42162247063051905,7.7335707105774425,-1.1505635627083015,7.466467332137935,lying
1420650775720,1.6837750706054269,0.6535033637151122,0.004386918980488553,8.700528979138284,-0.24555530776977538,6.796091132155666,lying
1420650775770,0.4908664680527523,0.29131816583415493,0.17970935528799892,7.877671832595952,-0.5048772933517582,6.58061275441274,lying
1420650775820,0.21093639606488868,0.5215921534450725,-0.7345585027012974,7.869291925856005,-0.21577746115420013,5.346252526324615,lying
1420650775870,0.014943104605370898,0.19109209710573777,-1.2015936114527284,7.841159877111012,-0.48617259288178755,4.668842728777975,lying
1420650775920,0.23456583958594127,0.033450573461700696,-0.6431742043372243,8.149264028621,-0.5865794135881471,5.113864889294281,lying
1420650775970,0.23456583958594127,0.033450573461700696,-0.6431742043372243,8.149264028621,-0.5865794135881471,5.113864889294281,lying
1420650776016,0.7224963820509612,-0.030028348494635426,0.06651772339665331,8.76397503087148,-0.6040870040948851,5.650016359633439,lying
1420650776070,0.461869104290381,0.18010814534723757,-0.3945671808466315,8.611643877178803,-0.3312976547241211,5.035903624670207,lying
1420650776116,0.59420840377938,0.21348151397043838,-0.7001194958742708,8.798242005599848,-0.25528173374785107,4.6519336064878845,lying
1420650776166,0.5953407322775572,0.2135199645509943,-0.596800100773014,8.822932319818063,-0.21622633743286132,4.72226375517901,lying
1420650776217,0.48414282235354184,0.3323469445813447,-0.41897137159984554,8.675239785711467,-0.09142857589721679,4.956595877340622,lying
1420650776270,0.41066516941692677,0.20964560733567922,-0.5073063653958961,8.608202394955418,-0.20649989318847656,4.8590324519502,lying
1420650776316,0.5570516258936375,0.10863440697840414,-0.4158562717866152,8.828019998345896,-0.2638111045616213,4.839878729071096,lying
1420650776370,0.2537560768168419,0.04447854017515201,0.019325519799033644,8.579322300897166,-0.31603461457404775,5.188983242659608,lying
1420650776420,0.291117875755392,-0.001952300400147942,0.22338117762356996,8.740931241751275,-0.32815526233376074,5.189731081335246,lying
1420650776470,0.31917017721999436,-0.03870207566556055,-0.06699698111384642,8.949825263534672,-0.32336686629143074,4.58070636739314,lying
1420650776520,0.15251168875820004,0.14619195681791752,-0.24776405159411952,8.936058412192528,-0.11177929000854492,4.1057564440962855,lying
1420650776570,0.15251168875820004,0.14619195681791752,-0.24776405159411952,8.936058412192528,-0.11177929000854492,4.1057564440962855,lying
1420650776620,0.13477908472339623,0.10855240038391202,-0.4322504302918911,9.031227964716358,-0.11192892761230468,3.6878187446594235,lying
1420650776670,0.30386867278963325,0.09216835228069685,-0.4189972001608461,9.300875191552937,-0.07556699903183617,3.4792239980835467,lying
1420650776721,0.4496962532745674,0.08792542661447078,-0.2502494569353759,9.513959029708989,-0.04563946914672851,3.4902969615660604,lying
1420650776770,0.3500098443808034,0.11658187711783684,-0.39416247250325975,9.44587362773735,-0.025887305450439452,3.2685341058593242,lying
1420650776820,0.3663960022427141,0.21356725602513177,-0.2495789737952873,9.513360442761332,0.08903437423706054,3.2842460177214816,lying
1420650776871,0.18635009021041915,0.15852173369480296,-0.2812459768920205,9.383474692170601,0.04384381790161133,3.1202432587997055,lying
