timeStamp,alpha,beta,gamma
1420650358538,36.61564501093892,77.58435270815724,-48.20651150287433,standing
1420650358592,36.70014016231955,77.54314746408772,-48.26766715864155,standing
1420650358639,36.7094113136008,77.4996750433215,-48.228668976028544,standing
1420650358692,36.777459463303074,77.44451459618377,-48.218615186851245,standing
1420650358740,36.89028647837649,77.38749940416112,-48.21396703279314,standing
1420650358792,37.04840378992221,77.33754496855306,-48.24577099467486,standing
1420650358841,37.194758000086864,77.27107399550242,-48.24009096229084,standing
1420650358892,37.194758000086864,77.27107399550242,-48.24009096229084,standing
1420650358942,37.31487765500124,77.23713093041708,-48.27452782935508,standing
1420650358992,37.34009690400943,77.18354122559155,-48.16453221006204,standing
1420650359042,37.49895583759296,77.10700134186912,-48.16362575227333,standing
1420650359092,37.61492566542752,77.06259700500874,-48.229046723717964,standing
1420650359144,37.524414104338184,77.06835532639302,-48.10802036852819,standing
1420650359192,37.348944931330436,77.01992106210324,-47.90029442028618,standing
1420650359244,37.22013495891745,77.01301799191783,-47.78655763451921,standing
1420650359291,37.13990839438024,77.03271405017149,-47.692459263071186,standing
1420650359344,37.26286299725422,77.02798860672469,-47.71928264871476,standing
1420650359392,37.428930828793156,77.04208489875312,-47.740717863025566,standing
1420650359444,37.428930828793156,77.04208489875312,-47.740717863025566,standing
1420650359492,37.39666658499698,77.08758040022705,-47.56047300397694,standing
1420650359543,37.365756068675324,77.15317413753357,-47.373710009231594,standing
1420650359592,37.35880940968223,77.21271169795696,-47.318303563317386,standing
1420650359643,37.35092562532426,77.28071069514392,-47.38056958974577,standing
1420650359692,37.404996905030366,77.35240407189512,-47.53383834807593,standing
1420650359744,37.5577306071729,77.41512061060455,-47.792454473655084,standing
1420650359792,37.729393184881424,77.47515210936433,-48.07242947496963,standing
1420650359842,37.933872102273035,77.53765559838386,-48.394830516369396,standing
1420650359893,38.09889878556203,77.57958242929922,-48.65458076807558,standing
1420650359942,38.40863716801327,77.61311455318119,-49.06635973639627,standing
1420650359992,38.40863716801327,77.61311455318119,-49.06635973639627,standing
1420650360040,38.532624640047764,77.62544148395253,-49.29186844649514,standing
1420650360091,38.62899731907994,77.63825272549803,-49.48073227848091,standing
1420650360141,38.623737797366196,77.6507674674524,-49.57282444372035,standing
1420650360191,38.61650794213666,77.67497349932933,-49.70003678634207,standing
1420650360241,38.506397110923345,77.70715526243782,-49.7495821607331,standing
1420650360291,38.226870269175464,77.7086944771937,-49.582362138272735,standing
1420650360342,37.82896869318093,77.69719211334467,-49.26598715363768,standing
1420650360391,37.53840785697826,77.72252413322823,-49.043827772455906,standing
1420650360441,37.35659309946448,77.7376285520884,-48.89697639828204,standing
1420650360492,37.35659309946448,77.7376285520884,-48.89697639828204,standing
1420650360542,36.73681432730589,77.7671979912115,-48.18105845236539,standing
1420650360592,36.73681432730589,77.7671979912115,-48.18105845236539,standing
1420650360642,36.257791906106036,77.76100637295927,-47.67814813520726,standing
1420650360692,35.842042077059176,77.72831900341573,-47.296983122907896,standing
1420650360742,35.67220573074218,77.70107037425197,-47.2746519412727,standing
1420650360787,35.56066739519502,77.68875830149032,-47.55260821865942,standing
1420650360842,34.27503884270436,77.64406444081135,-46.821955739417085,standing
1420650360892,33.15790352014938,77.8812658413339,-46.45712699945616,standing
1420650360942,31.9108561801449,78.01242196163673,-46.18306857130389,standing
1420650360992,31.95667269511772,78.00483212306571,-47.3266402519006,standing
1420650361042,31.835237123599498,78.04428732676867,-48.362663342650464,standing
1420650361092,31.64296987381364,78.07872963068144,-49.305117225948074,standing
1420650361142,31.64296987381364,78.07872963068144,-49.305117225948074,standing
1420650361192,31.357922407411472,78.02063321410921,-50.17697209925759,standing
1420650361242,31.377153168847503,78.03725257211234,-51.38112722556293,standing
1420650361292,31.51391101623958,78.01640481096392,-52.590358583242505,standing
1420650361343,31.8798647445031,77.92189794417457,-53.88070589625895,standing
1420650361392,32.37103440532887,77.80698514714743,-55.15399702078337,standing
1420650361444,33.07417784179579,77.69396397733892,-56.52441532807808,standing
1420650361493,33.707305443102264,77.57087066697733,-57.71244784465249,standing
1420650361544,34.22574841001133,77.44050691313687,-58.7206822750053,standing
1420650361594,34.22574841001133,77.44050691313687,-58.7206822750053,standing
1420650361642,34.73844693461069,77.38197494803681,-59.67635902039006,standing
1420650361692,35.53641637273929,77.32900574286519,-60.8088158282267,standing
1420650361742,35.919435212015905,77.29373951429258,-61.564063135941524,standing
1420650361792,35.535871055587954,77.2951313620332,-61.66030721017254,standing
1420650361843,35.345666491325055,77.36428028844082,-62.071897518804406,standing
1420650361892,35.502573909358084,77.44898116415258,-62.91647569461867,standing
1420650361942,35.94791756477087,77.41685897158106,-63.95910499387982,standing
1420650361990,36.36889277826982,77.371060909343,-64.81853227164076,standing
1420650362039,36.52223229923151,77.39919663054725,-65.4295054191482,standing
1420650362092,36.50481534042826,77.47687202528911,-65.91161037232206,standing
1420650362142,36.432981059774946,77.55199892045343,-66.39709958240928,standing
1420650362192,36.432981059774946,77.55199892045343,-66.39709958240928,standing
1420650362240,36.123611601918306,77.65271137191249,-66.67484107485198,standing
1420650362292,35.74803824782657,77.73030724308249,-66.9131662159693,standing
1420650362342,35.46596884459416,77.81072459481938,-67.23923922940526,standing
1420650362392,35.57245658293949,77.8537265107452,-67.87922406032277,standing
1420650362442,36.087591161371506,77.84575603888379,-68.78970136833802,standing
1420650362492,36.51871185638124,77.81637192416396,-69.37918365845536,standing
1420650362543,37.055538265984644,77.76069525760285,-69.81051982441197,standing
1420650362594,37.54639425486624,77.72434976927607,-70.03444180746523,standing
1420650362644,38.04283616823138,77.65748522302871,-70.10007999695563,standing
1420650362692,38.455726906109824,77.60527144351384,-69.98644167710877,standing
1420650362742,38.455726906109824,77.60527144351384,-69.98644167710877,standing
1420650362792,38.598723302604284,77.59094066499789,-69.5770393301483,standing
1420650362843,39.01427010515465,77.5851539797596,-69.4568440868371,standing
1420650362892,39.56309459918391,77.52997649413419,-69.40241407765295,standing
1420650362942,39.936510568073416,77.48069083961877,-69.15093471968764,standing
1420650362992,40.13335631149785,77.41303544289325,-68.7220893260957,standing
1420650363042,40.52248254721766,77.36714798015467,-68.53203471387057,standing
1420650363092,41.00532757396254,77.3461825047629,-68.5578963347703,standing
1420650363142,41.42519535909404,77.30080747190104,-68.61003007531711,standing
1420650363192,41.49690581167249,77.25073908549669,-68.39102985399177,standing
1420650363242,41.45147132894416,77.19705720831872,-68.16213416528824,standing
1420650363292,41.5135324847025,77.13580449264694,-68.13275525451351,standing
1420650363342,41.5135324847025,77.13580449264694,-68.13275525451351,standing
1420650363392,41.65757199664446,77.05606233431647,-68.19064597406191,standing
1420650363442,41.54304195773591,77.00894511612545,-68.05361875222613,standing
1420650363492,41.02081186386005,76.91314679580232,-67.52983659003978,standing
1420650363542,40.43975643145522,76.73231647669495,-67.0086941443371,standing
1420650363593,39.71087676892746,76.4978423182119,-66.30122212743937,standing
1420650363643,38.56824956605987,76.2589519565659,-65.17420641825777,standing
1420650363693,37.72972269801724,75.98802989052872,-64.41466223609477,standing
1420650363744,37.151936287268654,75.70408842016886,-63.77919286511583,standing
1420650363789,36.149065480393894,75.33464532723636,-62.671936429713796,standing
1420650363842,36.149065480393894,75.33464532723636,-62.671936429713796,standing
1420650363890,34.47942438559827,74.93876131404868,-60.816234200918615,standing
1420650363942,32.506087376549544,74.53625858362275,-58.774716842595325,standing
1420650363991,30.575120859241483,74.04208252759085,-57.05576485537787,standing
1420650364042,27.88915013252019,73.46152928849982,-54.839853343126684,standing
1420650364092,25.125862842071307,73.13726886212793,-52.851429248376945,standing
1420650364142,23.173617268342472,73.1230493064517,-51.85277884802331,standing
1420650364192,22.455665337568796,73.2579973031041,-52.364177273871164,standing
1420650364242,21.20659041327475,73.84273801128109,-52.49180780700567,standing
1420650364292,19.618360311189907,75.07002493110662,-52.311732988463575,standing
1420650364343,17.4913404041937,75.74160850530558,-51.77297161184077,standing
1420650364392,14.267217306461601,76.17057100514714,-49.772365676957946,standing
1420650364442,14.267217306461601,76.17057100514714,-49.772365676957946,standing
1420650364492,9.878873305137919,77.13594432839781,-47.497635743848505,standing
1420650364542,5.018162300633865,77.99876223218239,-45.3412787934094,standing
1420650364593,0.1283859091423221,78.48856520387183,-43.356898329434344,standing
1420650364643,355.6510285845293,79.33928738579763,-42.12840429882575,standing
1420650364693,353.7704006848064,80.40943082679246,-43.530657705653994,standing
1420650364745,354.51773968875,81.22656943250317,-46.79354775957133,standing
1420650364792,354.32340434822197,82.3306391681052,-48.7033391986235,standing
1420650364844,350.2169096678082,82.47235262276466,-46.94858196889267,standing
1420650364892,347.63595273063163,82.39103864915909,-46.20544273343398,standing
1420650364943,347.63595273063163,82.39103864915909,-46.20544273343398,standing
1420650364993,346.1435627814713,82.64788474157474,-46.9758507108211,standing
1420650365042,344.43953703606604,83.02392722431459,-46.98729815018937,standing
